Type,Numéro,Alias,Alias structuré,Libellé,Compte provisoire 2014,Budget voté 2015,2016,2017,2018,2019,Mention
Article,11.130,204 11130,20.4.11.130,Indemnités pour services extraordinaires,,3 625,3 625,4 000,4 000,4 000,
Article,11.150,204 11150,20.4.11.150,Indemnités pour heures supplémentaires,2 152,4 500,4 500,4 500,4 500,4 500,
Article,12.010,204 12010,20.4.12.010,"Frais de route et de séjour, frais de déménagement",5 455,8 000,8 000,8 000,8 000,8 000,
Article,12.020,204 12020,20.4.12.020,Frais d'exploitation des véhicules automoteurs,9 458,13 200,16 000,13 576,13 774,13 853,
Article,12.030,204 12030,20.4.12.030,Fourniture de vêtements de travail et de protection,3 254,0,0,0,0,0,
Article,12.040,204 12040,20.4.12.040,Frais de bureau,10 446,0,0,0,0,0,
Article,12.050,204 12050,20.4.12.050,Achat de biens et de services postaux et de télécommunications,16 286,0,,0,0,0,Crédit non limitatif
Article,12.060,204 12060,20.4.12.060,Location et entretien des installations de télécommunications,3 339,0,,,,,
Article,12.070,204 12070,20.4.12.070,Location et entretien des équipements informatiques,3 811,0,0,0,0,0,
Article,12.080,204 12080,20.4.12.080,Bâtiments: exploitation et entretien,43 520,49 500,52 000,52 000,52 000,52 000,
Article,12.120,204 12120,20.4.12.120,Frais d'experts et d'études,50 967,196 250,191 690,205 000,215 000,215 000,Crédit non limitatif et sans distinction d'exercice
Article,12.140,204 12140,20.4.12.140,"Frais de publicité, de sensibilisation et d'information",1 472,0,0,0,0,0,
Article,12.170,204 12170,20.4.12.170,Acquisition et entretien de petit outillage et d'équipements spéciaux de faible valeur,4 756,0,0,0,0,0,
Article,12.190,204 12190,20.4.12.190,Cours de formation et de perfectionnement; frais d'organisation et de participation,2 806,5 550,5 550,5 500,5 500,5 500,
Article,12.200,204 12200,20.4.12.200,Primes d'assurance-responsabilité civile,2 988,3 265,3 380,3 400,3 450,3 500,Crédit non limitatif et sans distinction d'exercice
Article,12.260,204 12260,20.4.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,58 100,57 700,58 400,58 900,59 200,
Article,12.300,204 12300,20.4.12.300,"Frais courants d'exploitation, de surveillance et d'inspection du secteur luxembourgeois de la Moselle canalisée",84 429,127 000,130 000,130 000,130 000,130 000,
Article,14.010,204 14010,20.4.14.010,Barrages-écluses de la Moselle et infrastructures relevant du domaine public fluvial: Entretien et renouvellement des installations et équipements,360 985,456 000,456 000,478 000,483 000,483 000,Crédit non limitatif et sans distinction d'exercice
Article,14.011,204 14011,20.4.14.011,"Participation aux frais d'exploitation, d'entretien et de renouvellement des ouvrages hydrauliques communs de la Moselle",117 800,7 000,36 000,106 000,106 000,30 000,Crédit non limitatif et sans distinction d'exercice
Article,31.030,204 31030,20.4.31.030,Régime d'aide pour l'installation de transpondeurs AIS à bord des bateaux de marchandises et de passagers,,0,0,,,,
Article,35.010,204 35010,20.4.35.010,Participation financière de l'Etat aux frais de mise en exploitation en rapport avec le dédoublement des écluses sur la Moselle allemande,,100,72 800,72 800,72 800,72 800,Crédit non limitatif
Article,35.030,204 35030,20.4.35.030,Parts contributives aux frais de fonctionnement d'organismes internationaux,149 853,162 800,163 300,165 500,167 500,169 500,Crédit non limitatif
Section,20.5,205,20.5,Direction de l'aviation civile,4 706 228,5 647 413,5 656 081,5 634 518,5 690 682,5 782 575,
Article,11.000,205 11000,20.5.11.000,Traitements des fonctionnaires,1 726 081,1 867 179,1 984 351,2 023 291,2 068 485,2 145 345,Crédit non limitatif et sans distinction d'exercice
Article,11.010,205 11010,20.5.11.010,Indemnités des employés occupés à titre permanent,614 314,559 941,662 405,593 820,601 172,616 205,Crédit non limitatif et sans distinction d'exercice
Article,11.020,205 11020,20.5.11.020,Indemnités des employés occupés à titre temporaire,24 458,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.100,205 11100,20.5.11.100,Indemnités d'habillement,,1 950,0,,,,
Article,11.130,205 11130,20.5.11.130,Indemnités pour services extraordinaires,1 422,7 819,7 900,7 900,7 900,7 900,
Article,11.150,205 11150,20.5.11.150,Indemnités pour heures supplémentaires,,1 000,1 000,1 000,1 000,1 000,
Article,12.000,205 12000,20.5.12.000,Indemnités pour services de tiers,783,2 925,2 925,2 925,2 925,2 925,
Article,12.010,205 12010,20.5.12.010,Frais de route et de séjour,33,500,500,500,500,500,
Article,12.012,205 12012,20.5.12.012,Frais de route et de séjour à l'étranger,77 624,100 000,100 000,100 000,100 000,100 000,Crédit non limitatif et sans distinction d'exercice
Article,12.020,205 12020,20.5.12.020,Frais d'exploitation des véhicules automoteurs,7 134,12 000,12 000,12 000,12 000,12 000,
Article,12.030,205 12030,20.5.12.030,Fourniture de vêtements de travail et de protection,454,0,0,,,,
Article,12.040,205 12040,20.5.12.040,Frais de bureau,19 281,0,,,,,
Article,12.050,205 12050,20.5.12.050,Achat de biens et de services postaux et de télécommunication,5 159,0,,,,,
Article,12.070,205 12070,20.5.12.070,Location et entretien des équipements informatiques et électroniques,42 369,0,0,,,,
Article,12.080,205 12080,20.5.12.080,Bâtiments: exploitation et entretien,56 877,0,,,,,
Article,12.090,205 12090,20.5.12.090,Loyers d'immeubles et charges locatives accessoires payés au secteur des administrations publiques,444 257,0,,,,,
Article,12.120,205 12120,20.5.12.120,Frais d'experts et d'études,489,280 000,280 000,280 000,280 000,280 000,Crédit non limitatif et sans distinction d'exercice
Article,12.121,205 12121,20.5.12.121,Frais liés à la surveillance des activités aéronautiques,,15 000,15 000,15 000,15 000,15 000,Crédit non limitatif et sans distinction d'exercice
Article,12.122,205 12122,20.5.12.122,Frais d'experts et d'études en matière informatique,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.140,205 12140,20.5.12.140,Frais de promotion de l'aéronautique luxembourgeoise,1 094,0,0,,,,
Article,12.150,205 12150,20.5.12.150,Section de médecine aéronautique: frais d'expertises médicales et autres,,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.170,205 12170,20.5.12.170,Acquisition et entretien de petit outillage et d'équipements spéciaux de faible valeur,1 919,0,0,,,,
Article,12.190,205 12190,20.5.12.190,Cours de formation et de recyclage,13 306,25 000,25 000,25 000,25 000,25 000,Crédit non limitatif
Article,12.260,205 12260,20.5.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,76 500,76 500,76 500,76 500,76 500,
Article,12.270,205 12270,20.5.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,542 000,539 500,546 382,550 000,550 000,Crédit sans distinction d'exercice
Article,35.030,205 35030,20.5.35.030,Contribution au budget d'EUROCONTROL,1 473 869,1 919 480,1 700 000,1 700 000,1 700 000,1 700 000,Crédit non limitatif
Article,35.060,205 35060,20.5.35.060,Parts contributives aux frais de fonctionnement d'organismes internationaux,195 305,234 119,248 800,250 000,250 000,250 000,Crédit non limitatif et sans distinction d'exercice
Article,11.630,205 11630,20.5.11.630,Indemnités pour services extraordinaires,,1 200,,,,,
Article,12.500,205 12500,20.5.12.500,Indemnités pour services de tiers.,,600,,,,,
Section,20.6,206,20.6,Administration de la navigation aérienne,24 603 925,26 263 848,29 401 282,32 207 235,28 978 439,29 679 993,
Article,11.000,206 11000,20.6.11.000,Traitements des fonctionnaires,5 518 339,4 527 369,5 087 635,5 187 641,5 303 519,5 500 584,Crédit non limitatif et sans distinction d'exercice
Article,11.001,206 11001,20.6.11.001,Traitements des fonctionnaires Air Navigation Service Provider,9 083 178,11 417 061,12 919 073,13 172 482,13 466 717,13 967 107,Crédit non limitatif et sans distinction d'exercice
Article,11.010,206 11010,20.6.11.010,Indemnités des employés occupés à titre permanent,,,373 609,380 980,389 489,403 962,Crédit non limitatif et sans distinction d'exercice
Article,11.011,206 11011,20.6.11.011,Indemnités des employés occupés à titre permanent Air Navigation Service Provider,792 520,987 833,1 629 976,1 661 886,1 699 007,1 762 138,Crédit non limitatif et sans distinction d'exercice
Article,11.020,206 11020,20.6.11.020,Indemnités des employés occupés à titre temporaire,,1 992,0,0,0,0,Crédit non limitatif et sans distinction d'exercice
Article,11.021,206 11021,20.6.11.021,Indemnités des employés occupés à titre temporaire Air Navigation Service Provider,12 051,6 974,10 123,10 125,10 082,10 208,Crédit non limitatif et sans distinction d'exercice
Article,11.030,206 11030,20.6.11.030,Salaires des salariés occupés à titre permanent,385 065,301 076,335 589,342 122,349 764,362 761,Crédit non limitatif et sans distinction d'exercice
Article,11.031,206 11031,20.6.11.031,Salaires des salariés occupés à titre permanent Air Navigation Service Provider,112 772,321 543,345 277,351 999,359 861,373 233,Crédit non limitatif et sans distinction d'exercice
Article,41.050,206 41050,20.6.41.050,Dotation dans l'intérêt du fonctionnement de l'Administration de la Navigation Aérienne,8 700 000,8 700 000,8 700 000,11 100 000,7 400 000,7 300 000,Crédit non limitatif
Section,20.7,207,20.7,Service de protection du gouvernement,560 378,532 222,663 466,653 880,675 145,692 409,
Article,11.100,207 11100,20.7.11.100,Indemnités d'habillement,12 737,12 742,14 676,15 320,15 965,16 609,Crédit sans distinction d'exercice
Article,11.101,207 11101,20.7.11.101,Masse d'habillement,11 780,11 780,13 640,14 260,14 880,15 500,
Article,11.150,207 11150,20.7.11.150,Indemnités pour heures supplémentaires,322 603,245 000,325 000,340 000,355 000,365 000,Crédit non limitatif
Article,12.020,207 12020,20.7.12.020,Frais d'exploitation des véhicules automoteurs,211 683,260 000,250 000,255 000,260 000,265 000,Crédit non limitatif et sans distinction d'exercice
Article,12.040,207 12040,20.7.12.040,Frais de bureau,1 575,0,0,,,,
Article,12.060,207 12060,20.7.12.060,Location et entretien des installations de télécommunications,,0,0,,,,
Article,12.260,207 12260,20.7.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,1 000,1 000,1 100,1 100,1 100,
Article,12.300,207 12300,20.7.12.300,Mise à disposition de voitures et autres équipements logistiques requis pour des renforts sporadiques lors de manifestations officielles,,100,100,100,100,100,Crédit non limitatif
Article,12.301,207 12301,20.7.12.301,Frais de location de véhicules automoteurs,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.302,207 12302,20.7.12.302,"Armement et équipement du personnel; frais d'acquisition, d'entretien et de maintenance du matériel; exercices de tir",,,55 950,25 000,25 000,25 000,Crédit sans distinction d'exercice
Article,41.000,207 41000,20.7.41.000,Cours de formation des officiers de sécurité du Gouvernement,,1 500,3 000,3 000,3 000,4 000,
Section,20.8,208,20.8,Aéroports et transports aériens,19 480 596,23 958 159,23 851 872,24 344 159,25 234 677,25 571 863,
Article,32.000,208 32000,20.8.32.000,Participation aux frais de gestion des activités assumées par l'agence luxembourgeoise pour la sécurité aérienne,555 804,875 390,907 279,924 789,949 481,972 649,Crédit non limitatif
Article,32.001,208 32001,20.8.32.001,Remboursement à la société de l'aéroport de certains frais d'exploitation,18 206 478,22 092 769,21 824 593,22 200 370,23 009 196,23 329 214,Crédit non limitatif et sans distinction d'exercice
Article,33.001,208 33001,20.8.33.001,Participation aux frais de fonctionnement de la Société de Promotion et de Développement de l'Aéroport de Luxembourg S.àr.l.,,0,0,,,,
Article,35.060,208 35060,20.8.35.060,Parts contributives aux frais de fonctionnement d'organismes internationaux,718 314,990 000,1 120 000,1 219 000,1 276 000,1 270 000,Crédit non limitatif et sans distinction d'exercice
Section,20.9,209,20.9,Administration des chemins de fer,3 125 700,3 641 474,3 894 800,4 058 472,4 145 681,4 262 768,
Article,11.000,209 11000,20.9.11.000,Traitements des fonctionnaires,317 041,476 182,454 593,463 512,473 866,491 473,Crédit non limitatif et sans distinction d'exercice
Article,11.010,209 11010,20.9.11.010,Indemnités des employés occupés à titre permanent,,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.020,209 11020,20.9.11.020,Indemnités des employés occupés à titre temporaire,7 030,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.010,209 12010,20.9.12.010,Frais de route et de séjour,65,500,500,500,500,500,
Article,12.012,209 12012,20.9.12.012,Frais de route et de séjour à l'étranger,42 838,55 000,55 000,55 000,55 000,55 000,Crédit non limitatif et sans distinction d'exercice
Article,12.020,209 12020,20.9.12.020,Frais d'exploitation des véhicules automoteurs,4 053,6 000,6 000,6 000,6 000,6 000,
